trial,status,mode,task_id,task_index,task_title,score,checklist_quality,source_evidence_recall,domain_rule_recall,evidence_recall,continuity_recall,memory_recall,memory_precision,memory_usage_rate,memory_tokens_used,continuity_per_memory_token,irrelevant_memory_used,selected_memory_concepts_count,used_selected_memory_concepts_count,token_efficiency,latency_efficiency,contradiction_penalty,checklist_hit_count,checklist_total,source_evidence_hit_count,source_evidence_total,domain_rule_hit_count,domain_rule_total,evidence_hit_count,evidence_total,continuity_hit_count,continuity_total,contradiction_hit_count,prompt_tokens,latency_seconds,memory_items_used,retrieved_sources,memory_task_ids_used,selected_memory_ids,error
1,ok,cag,T01,1,Define product foundation,99.44192508008744,100.0,100.0,100.0,100.0,,,,,0,,0,0,0,90.02222222222223,76.49328258302477,0,7,7,5,5,1,1,6,6,0,0,0,449,21.15604567527771,0,"['01_product_principles', '07_content', '02_behavior_science']",[],[],
1,ok,cag_scoped,T01,1,Define product foundation,99.56129908597028,100.0,100.0,100.0,100.0,,,,,0,,0,0,0,90.02222222222223,83.65572293599448,0,7,7,5,5,1,1,6,6,0,0,0,449,14.70984935760498,0,"['01_product_principles', '07_content', '02_behavior_science']",[],[],
1,ok,cag_scoped_promptonly,T01,1,Define product foundation,71.45723061117545,85.71428571428571,100.0,0.0,50.0,,,,,0,,0,0,0,90.02222222222223,83.12590016259087,0,6,7,5,5,0,1,5,6,0,0,0,449,15.186689853668213,0,"['01_product_principles', '07_content', '02_behavior_science']",[],[],
1,ok,cag_oracle_memory,T01,1,Define product foundation,71.44903313139758,85.71428571428571,100.0,0.0,50.0,,,,,0,,0,0,0,90.02222222222223,82.63405137591892,0,6,7,5,5,0,1,5,6,0,0,0,449,15.629353761672974,0,"['01_product_principles', '07_content', '02_behavior_science']",[],[],
1,ok,cag,T02,2,Create domain model,59.017474368488976,50.0,25.0,25.0,25.0,85.71428571428571,100.0,87.5,87.5,55,1.8181818181818181,0,8,7,89.11111111111111,84.0648971663581,0,3,6,1,4,1,4,2,8,6,7,0,490,14.34159255027771,1,"['01_product_principles', '07_content', '04_session_workflows']",['T01'],['M01_00001'],
1,ok,cag_scoped,T02,2,Create domain model,59.030922084989996,50.0,25.0,25.0,25.0,85.71428571428571,100.0,87.5,87.5,55,1.8181818181818181,0,8,7,89.11111111111111,85.40966881646051,0,3,6,1,4,1,4,2,8,6,7,0,490,13.131298065185547,1,"['01_product_principles', '07_content', '04_session_workflows']",['T01'],['M01_00001'],
1,ok,cag_scoped_promptonly,T02,2,Create domain model,64.7654092862871,50.0,25.0,25.0,25.0,100.0,100.0,87.5,100.0,55,1.8181818181818181,0,8,8,89.11111111111111,87.42981751759848,0,3,6,1,4,1,4,2,8,7,7,0,490,11.313164234161377,1,"['01_product_principles', '07_content', '04_session_workflows']",['T01'],['M01_00001'],
1,ok,cag_oracle_memory,T02,2,Create domain model,47.499314384082005,33.33333333333333,25.0,25.0,25.0,71.42857142857143,100.0,87.5,75.0,55,1.8181818181818181,0,8,6,89.11111111111111,70.34413682089912,0,2,6,1,4,1,4,2,8,5,7,0,490,26.690276861190796,1,"['01_product_principles', '07_content', '04_session_workflows']",['T01'],['M01_00001'],
1,ok,cag,T03,3,Define local persistence,64.90955447708615,57.14285714285714,40.0,40.0,40.0,85.71428571428571,100.0,58.333333333333336,75.0,95,1.0526315789473684,0,12,9,88.82222222222222,70.70465405782063,0,4,7,2,5,2,5,4,10,6,7,0,503,26.365811347961426,2,"['03_local_data', '06_testing', '01_product_principles']","['T02', 'T01']","['M01_00002', 'M01_00001']",
1,ok,cag_scoped,T03,3,Define local persistence,89.95153457714262,85.71428571428571,80.0,80.0,80.0,100.0,100.0,58.333333333333336,66.66666666666666,95,1.0526315789473684,0,12,8,88.82222222222222,72.04552120632596,0,6,7,4,5,4,5,8,10,7,7,0,503,25.15903091430664,2,"['03_local_data', '06_testing', '01_product_principles']","['T02', 'T01']","['M01_00002', 'M01_00001']",
1,ok,cag_scoped_promptonly,T03,3,Define local persistence,89.93503936257439,85.71428571428571,80.0,80.0,80.0,100.0,100.0,58.333333333333336,83.33333333333334,95,1.0526315789473684,0,12,10,88.82222222222222,70.39599974950154,0,6,7,4,5,4,5,8,10,7,7,0,503,26.64360022544861,2,"['03_local_data', '06_testing', '01_product_principles']","['T02', 'T01']","['M01_00002', 'M01_00001']",
1,ok,cag_oracle_memory,T03,3,Define local persistence,70.54109091468085,57.14285714285714,40.0,40.0,40.0,100.0,100.0,58.333333333333336,100.0,95,1.0526315789473684,0,12,12,88.82222222222222,62.42972638871935,0,4,7,2,5,2,5,4,10,7,7,0,503,33.81324625015259,2,"['03_local_data', '06_testing', '01_product_principles']","['T02', 'T01']","['M01_00002', 'M01_00001']",
1,ok,cag,T04,4,Set privacy and auth boundaries,66.7443880961736,50.0,33.33333333333333,33.33333333333333,33.33333333333333,100.0,100.0,50.0,87.5,151,0.6622516556291391,0,16,14,87.84444444444445,86.59436517291599,0,3,6,1,3,1,3,2,6,8,8,0,547,12.06507134437561,3,"['06_testing', '01_product_principles', '03_local_data']","['T03', 'T02', 'T01']","['M01_00003', 'M01_00002', 'M01_00001']",
1,ok,cag_scoped,T04,4,Set privacy and auth boundaries,66.69707643519507,50.0,33.33333333333333,33.33333333333333,33.33333333333333,100.0,100.0,50.0,81.25,151,0.6622516556291391,0,16,13,87.84444444444445,81.86319907506308,0,3,6,1,3,1,3,2,6,8,8,0,547,16.323120832443237,3,"['06_testing', '01_product_principles', '03_local_data']","['T03', 'T02', 'T01']","['M01_00003', 'M01_00002', 'M01_00001']",
1,ok,cag_scoped_promptonly,T04,4,Set privacy and auth boundaries,38.065710153155855,33.33333333333333,0.0,0.0,0.0,62.5,100.0,50.0,75.0,151,0.6622516556291391,0,16,12,87.84444444444445,85.39323753780789,0,2,6,0,3,0,3,0,6,5,8,0,547,13.1460862159729,3,"['06_testing', '01_product_principles', '03_local_data']","['T03', 'T01', 'T02']","['M01_00003', 'M01_00001', 'M01_00002']",
1,ok,cag_oracle_memory,T04,4,Set privacy and auth boundaries,52.878062262111236,33.33333333333333,0.0,0.0,0.0,100.0,100.0,50.0,68.75,151,0.6622516556291391,0,16,11,87.84444444444445,66.62844843334622,0,2,6,0,3,0,3,0,6,8,8,0,547,30.034396409988403,3,"['06_testing', '01_product_principles', '03_local_data']","['T03', 'T02', 'T01']","['M01_00003', 'M01_00002', 'M01_00001']",
1,ok,cag,T05,5,Build assessment rubric,34.201224835123334,28.57142857142857,0.0,0.0,0.0,57.14285714285714,100.0,36.84210526315789,68.42105263157895,189,0.5291005291005291,0,19,13,86.64444444444445,76.33518192503188,0,2,7,0,4,0,4,0,8,4,7,0,601,21.298336267471313,4,"['01_product_principles', '06_testing', '03_local_data']","['T04', 'T01', 'T03', 'T02']","['M01_00004', 'M01_00001', 'M01_00003', 'M01_00002']",
1,ok,cag_scoped,T05,5,Build assessment rubric,34.23288793504806,28.57142857142857,0.0,0.0,0.0,57.14285714285714,100.0,36.84210526315789,68.42105263157895,189,0.5291005291005291,0,19,13,86.64444444444445,79.50149191750421,0,2,7,0,4,0,4,0,8,4,7,0,601,18.448657274246216,4,"['01_product_principles', '06_testing', '03_local_data']","['T04', 'T03', 'T02', 'T01']","['M01_00004', 'M01_00003', 'M01_00002', 'M01_00001']",
1,ok,cag_scoped_promptonly,T05,5,Build assessment rubric,23.677666057268777,14.285714285714285,0.0,0.0,0.0,42.857142857142854,100.0,36.84210526315789,57.89473684210527,189,0.5291005291005291,0,19,11,86.64444444444445,81.1221612824334,0,1,7,0,4,0,4,0,8,3,7,0,601,16.990054845809937,4,"['01_product_principles', '06_testing', '03_local_data']","['T04', 'T01', 'T03', 'T02']","['M01_00004', 'M01_00001', 'M01_00003', 'M01_00002']",
1,ok,cag_oracle_memory,T05,5,Build assessment rubric,29.415441535556127,14.285714285714285,0.0,0.0,0.0,57.14285714285714,100.0,36.84210526315789,57.89473684210527,189,0.5291005291005291,0,19,11,86.64444444444445,83.47113768259685,0,1,7,0,4,0,4,0,8,4,7,0,601,14.875976085662842,4,"['01_product_principles', '06_testing', '03_local_data']","['T04', 'T03', 'T02', 'T01']","['M01_00004', 'M01_00003', 'M01_00002', 'M01_00001']",
1,ok,cag,T06,6,Generate training plans,66.16219340417155,57.14285714285714,100.0,33.33333333333333,66.66666666666666,72.72727272727273,100.0,45.83333333333333,66.66666666666666,228,0.43859649122807015,0,24,16,85.02222222222223,79.24906624688043,0,4,7,1,1,1,3,2,4,8,11,0,674,18.675840377807617,5,"['02_behavior_science', '07_content', '01_product_principles']","['T05', 'T01', 'T04', 'T02', 'T03']","['M01_00005', 'M01_00001', 'M01_00004', 'M01_00002', 'M01_00003']",
1,ok,cag_scoped,T06,6,Generate training plans,58.808469544625396,57.14285714285714,100.0,66.66666666666666,83.33333333333333,81.81818181818183,100.0,45.83333333333333,75.0,228,0.43859649122807015,0,24,18,85.02222222222223,80.24031665590074,15.0,4,7,1,1,2,3,3,4,9,11,1,674,17.78371500968933,5,"['02_behavior_science', '07_content', '01_product_principles']","['T05', 'T04', 'T03', 'T02', 'T01']","['M01_00005', 'M01_00004', 'M01_00003', 'M01_00002', 'M01_00001']",
1,ok,cag_scoped_promptonly,T06,6,Generate training plans,60.23065982907916,42.857142857142854,0.0,33.33333333333333,16.666666666666664,100.0,100.0,45.83333333333333,91.66666666666666,228,0.43859649122807015,0,24,22,85.02222222222223,80.90090354283652,0,3,7,0,1,1,3,1,4,11,11,0,674,17.189186811447144,5,"['02_behavior_science', '07_content', '01_product_principles']","['T05', 'T01', 'T04', 'T03', 'T02']","['M01_00005', 'M01_00001', 'M01_00004', 'M01_00003', 'M01_00002']",
1,ok,cag_oracle_memory,T06,6,Generate training plans,69.86311801285491,57.14285714285714,100.0,33.33333333333333,66.66666666666666,81.81818181818183,100.0,45.83333333333333,66.66666666666666,228,0.43859649122807015,0,24,16,85.02222222222223,85.70516347885132,0,4,7,1,1,1,3,2,4,9,11,0,674,12.865352869033813,5,"['02_behavior_science', '07_content', '01_product_principles']","['T05', 'T04', 'T03', 'T02', 'T01']","['M01_00005', 'M01_00004', 'M01_00003', 'M01_00002', 'M01_00001']",
1,ok,cag,T07,7,Add session execution states,79.87278730577412,75.0,83.33333333333334,83.33333333333334,83.33333333333334,81.81818181818183,100.0,36.666666666666664,66.66666666666666,275,0.36363636363636365,0,30,20,84.46666666666667,80.08479118347168,0,6,8,5,6,5,6,10,12,9,11,0,699,17.92368793487549,6,"['04_session_workflows', '07_content', '01_product_principles']","['T06', 'T01', 'T04', 'T03', 'T02', 'T05']","['M01_00006', 'M01_00001', 'M01_00004', 'M01_00003', 'M01_00002', 'M01_00005']",
1,ok,cag_scoped,T07,7,Add session execution states,70.40113145730953,100.0,100.0,100.0,100.0,27.27272727272727,100.0,40.74074074074074,22.22222222222222,219,0.45662100456621,0,27,6,85.71111111111111,63.49294371075101,0,8,8,6,6,6,6,12,12,3,11,0,643,32.8563506603241,5,"['04_session_workflows', '07_content', '01_product_principles']","['T06', 'T04', 'T03', 'T05', 'T02']","['M01_00006', 'M01_00004', 'M01_00003', 'M01_00005', 'M01_00002']",
1,ok,cag_scoped_promptonly,T07,7,Add session execution states,84.50439156979263,87.5,100.0,100.0,100.0,72.72727272727273,100.0,36.666666666666664,60.0,235,0.425531914893617,0,30,18,85.37777777777778,80.97047011057535,0,7,8,6,6,6,6,12,12,8,11,0,658,17.126576900482178,5,"['04_session_workflows', '07_content', '01_product_principles']","['T01', 'T06', 'T05', 'T04', 'T03']","['M01_00001', 'M01_00006', 'M01_00005', 'M01_00004', 'M01_00003']",
