phase,mode,score,continuity_recall,memory_recall,memory_precision,memory_usage_rate,continuity_per_memory_token,memory_tokens_used,token_efficiency,prompt_tokens,contradiction_penalty
1-10,cag,50.45849207181751,69.70097803431138,100.0,46.55332219089173,57.83130579094065,0.6337114050630756,207.7,86.02888888888889,628.7,0.5
1-10,cag_scoped,50.2620132943424,71.05579605579605,99.2063492063492,50.975219018171224,60.87576193570345,0.7010473134672567,158.7,87.11777777777777,579.7,1.0
1-10,cag_oracle_memory,50.252689584552655,68.92937309603975,99.2063492063492,50.975219018171224,60.39668802700663,0.7010473134672567,158.7,87.11777777777777,579.7,0.5
11-20,cag,57.30781685649376,56.22429796291276,100.0,35.688510512119045,47.520514434487374,0.15578392328770893,674.2,76.35333333333332,1064.1,0.5
11-20,cag_scoped,56.5618727824744,52.780912951690944,82.62768646070352,54.35063473709311,53.237584635974166,0.35393956818613787,235.9,86.09333333333332,625.8,0.0
11-20,cag_oracle_memory,49.135277528924306,46.87858525619436,82.62768646070352,54.35063473709311,47.15039948256567,0.35393956818613787,235.9,86.09333333333332,625.8,0.0
21-30,cag,34.00565834633813,35.5645727262169,100.0,36.39346438670312,38.753820117261064,0.0880478667960541,1144.5,66.14,1523.7,2.5
21-30,cag_scoped,25.981981980882715,31.79587903813291,62.08712106650638,53.57142857142859,46.07142857142857,0.24637746454962808,252.0,85.97333333333331,631.2,3.5
21-30,cag_oracle_memory,28.527491561212596,32.17703590669608,62.08712106650638,53.57142857142859,49.99999999999999,0.24637746454962808,252.0,85.97333333333331,631.2,4.0
20-30,cag,35.95143600555501,35.85049133468399,100.0,37.55827209758003,37.97244830284916,0.0901221284519661,1122.4545454545455,66.8949494949495,1489.7272727272727,2.272727272727273
20-30,cag_scoped,26.739209987728675,30.66487537190968,62.6011951044486,54.85965647255969,44.22915793883536,0.2495328649749056,251.0,86.26060606060605,618.2727272727273,3.1818181818181817
20-30,cag_oracle_memory,29.05084275182366,30.718126484093208,62.6011951044486,54.85965647255969,47.31182795698924,0.2495328649749056,251.0,86.26060606060605,618.2727272727273,3.6363636363636362
30 only,cag,35.83214274722498,35.63218390804598,100.0,42.64705882352941,44.60784313725491,0.081037277147487,1234.0,62.77777777777778,1675.0,0.0
30 only,cag_scoped,29.262616816007057,43.67816091954024,51.72413793103448,53.57142857142858,83.33333333333333,0.20525451559934296,252.0,84.62222222222222,692.0,0.0
30 only,cag_oracle_memory,24.66200340132043,31.034482758620683,51.72413793103448,53.57142857142858,65.47619047619048,0.20525451559934296,252.0,84.62222222222222,692.0,0.0
