phase,mode,score,continuity_recall,memory_recall,memory_precision,memory_usage_rate,continuity_per_memory_token,memory_tokens_used,token_efficiency,prompt_tokens,contradiction_penalty
1-10,cag,49.63405078355456,71.19608786275452,100.0,46.55332219089173,62.626380055598425,0.6337114050630756,207.7,86.02888888888889,628.7,0.0
1-10,cag_scoped,49.08174561035177,64.71460638127304,99.2063492063492,50.975219018171224,56.781518949210685,0.7010473134672567,158.7,87.11777777777777,579.7,0.5
1-10,cag_oracle_memory,51.10569752031815,72.78940195606862,99.2063492063492,50.975219018171224,61.930155315918554,0.7010473134672567,158.7,87.11777777777777,579.7,0.5
1-10,cag_scoped_promptonly,48.47507944687591,67.3661215327882,95.76719576719577,48.68085753319671,63.150327940776286,0.6771985540209172,162.7,87.03111111111113,583.6,0.0
11-20,cag,58.471239022921026,54.94862159591761,100.0,35.688510512119045,45.78540995859449,0.15578392328770893,674.2,76.35333333333332,1064.1,1.0
11-20,cag_scoped,53.42047529673521,48.86730946859031,82.62768646070352,54.35063473709311,48.0932030982135,0.35393956818613787,235.9,86.09333333333332,625.8,1.0
11-20,cag_oracle_memory,53.057608670780844,48.81056316302997,82.62768646070352,54.35063473709311,49.056380202581295,0.35393956818613787,235.9,86.09333333333332,625.8,1.5
11-20,cag_scoped_promptonly,53.20365308358554,42.82258520873321,59.9325013485355,44.178210833533164,53.212874871070774,0.2481122986194402,243.0,85.94,632.7,2.0
21-30,cag,33.08340306582957,35.41588168897014,100.0,36.39346438670312,38.126407587240415,0.0880478667960541,1144.5,66.14,1523.7,3.5
21-30,cag_scoped,29.987319405244225,37.71710796375964,62.08712106650638,53.57142857142859,57.738095238095234,0.24637746454962808,252.0,85.97333333333331,631.2,1.5
21-30,cag_oracle_memory,27.557501979975925,32.48216107656387,62.08712106650638,53.57142857142859,52.26190476190477,0.24637746454962808,252.0,85.97333333333331,631.2,2.0
21-30,cag_scoped_promptonly,20.88622414656679,15.56528854472383,30.540309421268944,50.44749694749695,46.54049654049653,0.11624572702767187,261.3,85.7688888888889,640.4,1.0
20-30,cag,35.757068321896746,35.91082108576953,100.0,37.55827209758003,37.97927385275824,0.0901221284519661,1122.4545454545455,66.8949494949495,1489.7272727272727,3.1818181818181817
20-30,cag_scoped,30.55065217894914,35.55905220556839,62.6011951044486,54.85965647255969,54.54196341293116,0.2495328649749056,251.0,86.26060606060605,618.2727272727273,1.3636363636363635
20-30,cag_oracle_memory,27.81066264406926,31.191016423464713,62.6011951044486,54.85965647255969,49.46585672392124,0.2495328649749056,251.0,86.26060606060605,618.2727272727273,1.8181818181818181
20-30,cag_scoped_promptonly,23.85712298692187,16.007544815829092,30.98972410731194,50.623265623265624,46.2056462056462,0.11868521774060417,260.09090909090907,86.06060606060606,627.2727272727273,1.8181818181818181
30 only,cag,33.108273660025226,28.73563218390804,100.0,42.64705882352941,34.31372549019608,0.081037277147487,1234.0,62.77777777777778,1675.0,0.0
30 only,cag_scoped,30.21193958925109,45.97701149425288,51.72413793103448,53.57142857142858,91.66666666666667,0.20525451559934296,252.0,84.62222222222222,692.0,0.0
30 only,cag_oracle_memory,32.99028899544266,42.52873563218391,51.72413793103448,53.57142857142858,83.33333333333333,0.20525451559934296,252.0,84.62222222222222,692.0,0.0
30 only,cag_scoped_promptonly,28.556130784359752,20.689655172413794,24.13793103448276,50.0,76.19047619047619,0.095406842033528,253.0,84.6,693.0,0.0
