phase,mode,score,continuity_recall,memory_recall,memory_precision,continuity_per_memory_token,prompt_tokens,contradiction_penalty
1-10,rag,44.552137174476925,31.77409010742344,,,,398.0,0.5
1-10,dag,40.547641738375745,30.97442680776014,,,,428.0,1.0
1-10,cag,57.784164616527846,70.73312489979156,100.0,46.55332219089173,0.633711405063076,628.7,0.0
11-20,rag,31.84534584018562,15.104690051321931,,,,367.7,2.5
11-20,dag,30.50023135884057,15.794358717745814,,,,397.7,4.0
11-20,cag,56.71925602179642,59.00375684649878,100.0,35.688510512119045,0.15578392328770932,1064.1,1.0
21-30,rag,12.384999554963937,5.901599019190223,,,,357.0,1.5
21-30,dag,14.58672577049249,5.609896773040201,,,,387.0,1.0
21-30,cag,30.85527718558415,34.63861300193135,100.0,35.653132799810145,0.08538628850417139,1568.1,2.0
20-30,rag,13.276757647131598,5.951600281375277,,,,345.09090909090907,1.3636363636363635
20-30,dag,15.326692209982916,5.295409578619146,,,,375.09090909090907,0.9090909090909091
20-30,cag,33.37876176611557,35.39971660977141,100.0,36.88524338222279,0.08770251182298185,1530.090909090909,1.8181818181818181
30 only,rag,12.981132145707656,9.195402298850574,,,,418.0,0.0
30 only,dag,26.47943471230784,4.597701149425287,,,,448.0,0.0
30 only,cag,30.683613003637863,45.97701149425288,100.0,39.72602739726028,0.0709219858156028,1850.0,5.0
