phase,mode,score,continuity_recall,memory_recall,memory_precision,memory_usage_rate,continuity_per_memory_token,memory_tokens_used,token_efficiency,prompt_tokens,contradiction_penalty
1-10,rag,35.368086975434174,31.77409010742344,,,,,0.0,91.1555555555556,398.0,0.5
1-10,dag,34.28067826495903,30.97442680776014,,,,,0.0,90.48888888888888,428.0,1.0
1-10,cag,48.76698850690862,70.73312489979156,100.0,46.55332219089173,,0.6337114050630756,207.7,86.02888888888889,628.7,0.0
11-20,rag,34.26720611418806,15.104690051321931,,,,,0.0,91.82888888888891,367.7,2.5
11-20,dag,34.411683642208864,15.794358717745814,,,,,0.0,91.16222222222224,397.7,4.0
11-20,cag,57.71925602179642,59.00375684649878,100.0,35.688510512119045,,0.15578392328770893,674.2,76.35333333333332,1064.1,1.0
21-30,rag,13.685678205819954,5.901599019190223,,,,,0.0,92.06666666666668,357.0,1.5
21-30,dag,15.326435358543335,5.609896773040201,,,,,0.0,91.4,387.0,1.0
21-30,cag,32.85527718558415,34.63861300193135,100.0,35.653132799810145,,0.08538628850417099,1189.0,65.15333333333334,1568.1,2.0
20-30,rag,14.459192784273432,5.951600281375277,,,,,0.0,92.33131313131314,345.09090909090907,1.3636363636363635
20-30,dag,15.99915547184732,5.295409578619146,,,,,0.0,91.66464646464645,375.09090909090907,0.9090909090909091
20-30,cag,35.196943584297394,35.39971660977141,100.0,36.88524338222279,,0.08770251182298144,1162.909090909091,65.99797979797978,1530.090909090909,1.8181818181818181
30 only,rag,12.981132145707656,9.195402298850574,,,,,0.0,90.71111111111112,418.0,0.0
30 only,dag,26.47943471230784,4.597701149425286,,,,,0.0,90.04444444444444,448.0,0.0
30 only,cag,35.683613003637866,45.97701149425288,100.0,39.72602739726028,,0.070921985815602,1410.0,58.88888888888889,1850.0,5.0
