trial,status,mode,task_id,task_index,task_title,score,checklist_quality,source_evidence_recall,domain_rule_recall,evidence_recall,continuity_recall,memory_recall,memory_precision,memory_tokens_used,continuity_per_memory_token,irrelevant_memory_used,token_efficiency,latency_efficiency,contradiction_penalty,checklist_hit_count,checklist_total,source_evidence_hit_count,source_evidence_total,domain_rule_hit_count,domain_rule_total,evidence_hit_count,evidence_total,continuity_hit_count,continuity_total,contradiction_hit_count,prompt_tokens,latency_seconds,memory_items_used,retrieved_sources,memory_task_ids_used,selected_memory_ids,error
1,ok,rag,T01,1,Define product foundation,99.4446517253805,100.0,100.0,100.0,100.0,,,,0,,,90.71111111111111,75.96799241171944,0,7,7,5,5,1,1,6,6,0,0,0,418,21.628806829452515,0,"['01_product_principles', '07_content', '02_behavior_science']",[],[],
1,ok,dag,T01,1,Define product foundation,75.24429442082763,71.42857142857143,60.0,100.0,80.0,,,,0,,,90.04444444444445,76.041792233785,0,5,7,3,5,1,1,4,6,0,0,0,448,21.562386989593506,0,"['01_product_principles', '07_content', '02_behavior_science']",[],[],
1,ok,cag,T01,1,Define product foundation,99.53941315227084,100.0,100.0,100.0,100.0,,,,0,,0,90.02222222222223,82.3425669140286,0,7,7,5,5,1,1,6,6,0,0,0,449,15.891689777374268,0,"['01_product_principles', '07_content', '02_behavior_science']",[],[],
1,ok,rag,T02,2,Create domain model,41.76269635424538,33.33333333333333,25.0,25.0,25.0,57.14285714285714,,,0,,,90.82222222222222,66.39979415469699,0,2,6,1,4,1,4,2,8,4,7,0,413,30.240185260772705,0,"['01_product_principles', '07_content', '04_session_workflows']",[],[],
1,ok,dag,T02,2,Create domain model,36.00962783303336,33.33333333333333,25.0,25.0,25.0,42.857142857142854,,,0,,,90.15555555555555,63.188180128733315,0,2,6,1,4,1,4,2,8,3,7,0,443,33.130637884140015,0,"['01_product_principles', '07_content', '04_session_workflows']",[],[],
1,ok,cag,T02,2,Create domain model,47.555141592252824,50.0,25.0,25.0,25.0,57.14285714285714,100.0,87.5,55,1.8181818181818181,0,89.11111111111111,80.68876239988538,0,3,6,1,4,1,4,2,8,4,7,0,490,17.38011384010315,1,"['01_product_principles', '07_content', '04_session_workflows']",['T01'],['M01_00001'],
1,ok,rag,T03,3,Define local persistence,61.385760362337514,71.42857142857143,100.0,100.0,100.0,28.57142857142857,,,0,,,91.44444444444444,75.70302036073473,0,5,7,5,5,5,5,10,10,2,7,0,385,21.867281675338745,0,"['03_local_data', '06_testing', '01_product_principles']",[],[],
1,ok,dag,T03,3,Define local persistence,61.286894054866984,71.42857142857143,100.0,100.0,100.0,28.57142857142857,,,0,,,90.77777777777779,66.48305628034802,0,5,7,5,5,5,5,10,10,2,7,0,415,30.165249347686768,0,"['03_local_data', '06_testing', '01_product_principles']",[],[],
1,ok,cag,T03,3,Define local persistence,99.44598251650069,100.0,100.0,100.0,100.0,100.0,100.0,58.333333333333336,95,1.0526315789473684,0,88.82222222222222,55.776029427846275,0,7,7,5,5,5,5,10,10,7,7,0,503,39.801573514938354,2,"['03_local_data', '06_testing', '01_product_principles']","['T02', 'T01']","['M01_00002', 'M01_00001']",
1,ok,rag,T04,4,Set privacy and auth boundaries,33.06979461002349,33.33333333333333,0.0,0.0,0.0,50.0,,,0,,,91.68888888888888,81.95723878012762,0,2,6,0,3,0,3,0,6,4,8,0,374,16.238485097885132,0,"['06_testing', '01_product_principles', '03_local_data']",[],[],
1,ok,dag,T04,4,Set privacy and auth boundaries,33.007812777307294,33.33333333333333,0.0,0.0,0.0,50.0,,,0,,,91.02222222222223,76.42572217517429,0,2,6,0,3,0,3,0,6,4,8,0,404,21.21685004234314,0,"['06_testing', '01_product_principles', '03_local_data']",[],[],
1,ok,cag,T04,4,Set privacy and auth boundaries,52.95484334426456,33.33333333333333,0.0,0.0,0.0,100.0,100.0,50.0,151,0.6622516556291391,0,87.84444444444445,74.30655664867825,0,2,6,0,3,0,3,0,6,8,8,0,547,23.124099016189575,3,"['06_testing', '01_product_principles', '03_local_data']","['T03', 'T02', 'T01']","['M01_00003', 'M01_00002', 'M01_00001']",
